------------------------------------------------------------
 solve prev v1=1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
        100.32865478,        64.4662680992
       100.665328118,        64.4662680992
       101.002001456,        64.4662680992
       101.338674795,        64.4662680992
       101.675348133,        64.4662680992
       102.012021471,        64.4662680992
       102.348694809,        64.4662680992
       102.685368147,        64.4662680992
       103.022041486,        64.4662680992
       103.358714824,        64.4662680992
       103.695388162,        64.4662680992
         104.0320615,        64.4662680992
       104.368734838,        64.4662680992
       104.705408177,        64.4662680992
       105.042081515,        64.4662680992
       105.378754853,        64.4662680992
       105.715428191,        64.4662680992
       106.052101529,        64.4662680992
       106.388774868,        64.4662680992
       106.725448206,        64.4662680992
       107.062121544,        64.4662680992
       107.398794882,        64.4662680992
        107.73546822,        64.4662680992
       108.072141558,        64.4662680992
       108.408814897,        64.4662680992
       108.745488235,        64.4662680992
       109.082161573,        64.4662680992
       109.418834911,        64.4662680992
       109.755508249,        64.4662680992
       110.092181588,        64.4662680992
       110.428854926,        64.4662680992
       110.765528264,        64.4662680992
       111.102201602,        64.4662680992
        111.43887494,        64.4662680992
       111.775548279,        64.4662680992
       112.112221617,        64.4662680992
       112.448894955,        64.4662680992
       112.785568293,        64.4662680992
       113.122241631,        64.4662680992
       113.458914969,        64.4662680992
       113.795588308,        64.4662680992
       114.132261646,        64.4662680992
       114.468934984,        64.4662680992
       114.805608322,        64.4662680992
        115.14228166,        64.4662680992
       115.478954999,        64.4662680992
       115.815628337,        64.4662680992
       116.152301675,        64.4662680992
       116.488975013,        64.4662680992
       116.825648351,        64.4662680992
        117.16232169,        64.4662680992
       117.498995028,        64.4662680992
       117.835668366,        64.4662680992
       118.172341704,        64.4662680992
       118.509015042,        64.4662680992
        118.84568838,        64.4662680992
       119.182361719,        64.4662680992
       119.519035057,        64.4662680992
       119.855708395,        64.4662680992
       120.192381733,        64.4662680992
       120.529055071,        64.4662680992
        120.86572841,        64.4662680992
       121.202401748,        64.4662680992
       121.539075086,        64.4662680992
       121.875748424,        64.4662680992
       122.212421762,        64.4662680992
       122.549095101,        64.4662680992
       122.885768439,        64.4662680992
       123.222441777,        64.4662680992
       123.559115115,        64.4662680992
       123.895788453,        64.4662680992
       124.232461791,        64.4662680992
        124.56913513,        64.4662680992
       124.905808468,        64.4662680992
       125.242481806,        64.4662680992
       125.579155144,        64.4662680992
       125.915828482,        64.4662680992
       126.252501821,        64.4662680992
       126.589175159,        64.4662680992
       126.925848497,        64.4662680992
       127.262521835,        64.4662680992
       127.599195173,        64.4662680992
       127.935868512,        64.4662680992
        128.27254185,        64.4662680992
       128.609215188,        64.4662680992
       128.945888526,        64.4662680992
       129.282561864,        64.4662680992
       129.619235202,        64.4662680992
       129.955908541,        64.4662680992
       130.292581879,        64.4662680992
       130.629255217,        64.4662680992
       130.965928555,        64.4662680992
       131.302601893,        64.4662680992
       131.639275232,        64.4662680992
        131.97594857,        64.4662680992
       132.312621908,        64.4662680992
       132.649295246,        64.4662680992
       132.985968584,        64.4662680992
       133.322641923,        64.4662680992
       133.659315261,        64.4662680992
       133.995988599,        64.4662680992
       134.332661937,        64.4662680992
       134.669335275,        64.4662680992
       135.006008614,        64.4662680992
       135.342681952,        64.4662680992
        135.67935529,        64.4662680992
       136.016028628,        64.4662680992
       136.352701966,        64.4662680992
       136.689375304,        64.4662680992
       137.026048643,        64.4662680992
       137.362721981,        64.4662680992
       137.699395319,        64.4662680992
       138.036068657,        64.4662680992
