------------------------------------------------------------
 solve prev v1=0.5 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Total Current (A)
       253.178350318,        32.7434474018
       253.515023656,        32.7434474018
       253.851696994,        32.7434474018
       254.188370332,        32.7434474018
        254.52504367,        32.7434474018
       254.861717009,        32.7434474018
       255.198390347,        32.7434474018
       255.535063685,        32.7434474018
       255.871737023,        32.7434474018
       256.208410361,        32.7434474018
       256.545083699,        32.7434474018
       256.881757038,        32.7434474018
       257.218430376,        32.7434474018
       257.555103714,        32.7434474018
       257.891777052,        32.7434474018
        258.22845039,        32.7434474018
       258.565123729,        32.7434474018
       258.901797067,        32.7434474018
       259.238470405,        32.7434474018
       259.575143743,        32.7434474018
       259.911817081,        32.7434474018
        260.24849042,        32.7434474018
       260.585163758,        32.7434474018
       260.921837096,        32.7434474018
       261.258510434,        32.7434474018
       261.595183772,        32.7434474018
        261.93185711,        32.7434474018
       262.268530449,        32.7434474018
       262.605203787,        32.7434474018
       262.941877125,        32.7434474018
       263.278550463,        32.7434474018
       263.615223801,        32.7434474018
        263.95189714,        32.7434474018
       264.288570478,        32.7434474018
       264.625243816,        32.7434474018
       264.961917154,        32.7434474018
       265.298590492,        32.7434474018
       265.635263831,        32.7434474018
       265.971937169,        32.7434474018
       266.308610507,        32.7434474018
       266.645283845,        32.7434474018
       266.981957183,        32.7434474018
       267.318630522,        32.7434474018
        267.65530386,        32.7434474018
       267.991977198,        32.7434474018
       268.328650536,        32.7434474018
       268.665323874,        32.7434474018
       269.001997212,        32.7434474018
       269.338670551,        32.7434474018
       269.675343889,        32.7434474018
       270.012017227,        32.7434474018
       270.348690565,        32.7434474018
       270.685363903,        32.7434474018
       271.022037242,        32.7434474018
        271.35871058,        32.7434474018
       271.695383918,        32.7434474018
       272.032057256,        32.7434474018
       272.368730594,        32.7434474018
       272.705403933,        32.7434474018
       273.042077271,        32.7434474018
       273.378750609,        32.7434474018
       273.715423947,        32.7434474018
       274.052097285,        32.7434474018
       274.388770623,        32.7434474018
       274.725443962,        32.7434474018
         275.0621173,        32.7434474018
       275.398790638,        32.7434474018
       275.735463976,        32.7434474018
       276.072137314,        32.7434474018
       276.408810653,        32.7434474018
       276.745483991,        32.7434474018
       277.082157329,        32.7434474018
       277.418830667,        32.7434474018
       277.755504005,        32.7434474018
       278.092177344,        32.7434474018
       278.428850682,        32.7434474018
        278.76552402,        32.7434474018
       279.102197358,        32.7434474018
       279.438870696,        32.7434474018
       279.775544034,        32.7434474018
       280.112217373,        32.7434474018
       280.448890711,        32.7434474018
       280.785564049,        32.7434474018
       281.122237387,        32.7434474018
       281.458910725,        32.7434474018
       281.795584064,        32.7434474018
       282.132257402,        32.7434474018
        282.46893074,        32.7434474018
       282.805604078,        32.7434474018
       283.142277416,        32.7434474018
       283.478950755,        32.7434474018
       283.815624093,        32.7434474018
       284.152297431,        32.7434474018
       284.488970769,        32.7434474018
       284.825644107,        32.7434474018
       285.162317445,        32.7434474018
       285.498990784,        32.7434474018
       285.835664122,        32.7434474018
        286.17233746,        32.7434474018
       286.509010798,        32.7434474018
       286.845684136,        32.7434474018
       287.182357475,        32.7434474018
       287.519030813,        32.7434474018
       287.855704151,        32.7434474018
       288.192377489,        32.7434474018
       288.529050827,        32.7434474018
       288.865724166,        32.7434474018
       289.202397504,        32.7434474018
       289.539070842,        32.7434474018
        289.87574418,        32.7434474018
       290.212417518,        32.7434474018
       290.549090857,        32.7434474018
       290.885764195,        32.7434474018
       291.222437533,        32.7434474018
       291.559110871,        32.7434474018
       291.895784209,        32.7434474018
       292.232457547,        32.7434474018
       292.569130886,        32.7434474018
       292.905804224,        32.7434474018
       293.242477562,        32.7434474018
         293.5791509,        32.7434474018
       293.915824238,        32.7434474018
       294.252497577,        32.7434474018
       294.589170915,        32.7434474018
       294.925844253,        32.7434474018
       295.262517591,        32.7434474018
       295.599190929,        32.7434474018
       295.935864268,        32.7434474018
       296.272537606,        32.7434474018
       296.609210944,        32.7434474018
       296.945884282,        32.7434474018
        297.28255762,        32.7434474018
       297.619230958,        32.7434474018
       297.955904297,        32.7434474018
       298.292577635,        32.7434474018
       298.629250973,        32.7434474018
