------------------------------------------------------------
 solve prev v1=-1 elect=1 gen=9e+20 reg.gen=1 absorp=0 dir.gen=x
------------------------------------------------------------
Position (um), Electron Concentration (/cm3)
       65.9879742849,    1.08174309531e+16
       66.3246476231,    1.08170822647e+16
       66.6613209613,    1.08167335764e+16
       66.9979942995,     1.0816381092e+16
       67.3346676377,    1.08160286077e+16
       67.6713409758,    1.08156724564e+16
        68.008014314,    1.08153163052e+16
       68.3446876522,    1.08149566069e+16
       68.6813609904,    1.08145969087e+16
       69.0180343286,    1.08142337749e+16
       69.3547076668,    1.08138706412e+16
        69.691381005,    1.08135041754e+16
       70.0280543432,    1.08131377096e+16
       70.3647276814,    1.08127680079e+16
       70.7014010195,    1.08123983062e+16
       71.0380743577,    1.08120254577e+16
       71.3747476959,    1.08116526093e+16
       71.7114210341,    1.08112766968e+16
       72.0480943723,    1.08109007843e+16
       72.3847677105,    1.08105218845e+16
       72.7214410487,    1.08101429847e+16
       73.0581143869,    1.08097611685e+16
        73.394787725,    1.08093793523e+16
       73.7314610632,    1.08089946856e+16
       74.0681344014,    1.08086100189e+16
       74.4048077396,    1.08082225625e+16
       74.7414810778,     1.0807835106e+16
        75.078154416,    1.08074449161e+16
       75.4148277542,    1.08070547262e+16
       75.7515010924,    1.08066618547e+16
       76.0881744306,    1.08062689833e+16
       76.4248477687,    1.08058734782e+16
       76.7615211069,    1.08054779731e+16
       77.0981944451,    1.08050798786e+16
       77.4348677833,    1.08046817841e+16
       77.7715411215,    1.08042811409e+16
       78.1082144597,    1.08038804977e+16
       78.4448877979,    1.08034773431e+16
       78.7815611361,    1.08030741885e+16
       79.1182344743,     1.0802668557e+16
       79.4549078124,    1.08022629254e+16
       79.7915811506,    1.08018548484e+16
       80.1282544888,    1.08014467714e+16
        80.464927827,    1.08010362777e+16
       80.8016011652,     1.0800625784e+16
       81.1382745034,    1.08002128999e+16
       81.4749478416,    1.07998000159e+16
       81.8116211798,    1.07993847655e+16
       82.1482945179,    1.07989695151e+16
       82.4849678561,    1.07985519203e+16
       82.8216411943,    1.07981343254e+16
       83.1583145325,    1.07977144058e+16
       83.4949878707,    1.07972944862e+16
       83.8316612089,    1.07968722597e+16
       84.1683345471,    1.07964500333e+16
       84.5050078853,    1.07960255161e+16
       84.8416812235,    1.07956009989e+16
       85.1783545616,    1.07951742054e+16
       85.5150278998,    1.07947474119e+16
        85.851701238,     1.0794318355e+16
       86.1883745762,     1.0793889298e+16
       86.5250479144,    1.07934579892e+16
       86.8617212526,    1.07930266803e+16
       87.1983945908,    1.07925931294e+16
        87.535067929,    1.07921595786e+16
       87.8717412671,    1.07917237947e+16
       88.2084146053,    1.07912880108e+16
       88.5450879435,    1.07908500014e+16
       88.8817612817,     1.0790411992e+16
       89.2184346199,    1.07899717636e+16
       89.5551079581,    1.07895315351e+16
       89.8917812963,    1.07890890932e+16
       90.2284546345,    1.07886466512e+16
       90.5651279727,    1.07882020002e+16
       90.9018013108,    1.07877573492e+16
        91.238474649,    1.07873104928e+16
       91.5751479872,    1.07868636363e+16
       91.9118213254,    1.07864145771e+16
       92.2484946636,    1.07859655178e+16
       92.5851680018,    1.07855142578e+16
         92.92184134,    1.07850629977e+16
       93.2585146782,     1.0784609538e+16
       93.5951880163,    1.07841560783e+16
       93.9318613545,    1.07837004194e+16
       94.2685346927,    1.07832447605e+16
       94.6052080309,    1.07827869022e+16
       94.9418813691,     1.0782329044e+16
       95.2785547073,    1.07818689856e+16
       95.6152280455,    1.07814089272e+16
       95.9519013837,    1.07809466673e+16
       96.2885747219,    1.07804844074e+16
         96.62524806,     1.0780019944e+16
       96.9619213982,    1.07795554807e+16
       97.2985947364,    1.07790888115e+16
       97.6352680746,    1.07786221424e+16
       97.9719414128,    1.07781532645e+16
        98.308614751,    1.07776843866e+16
       98.6452880892,    1.07772132966e+16
       98.9819614274,    1.07767422066e+16
       99.3186347655,    1.07762689008e+16
       99.6553081037,     1.0775795595e+16
