------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Electric Field (V/cm)
       60.2645275357,       -14.8809527569
       60.6012008739,       -14.8809527569
       60.9378742121,       -14.8809527569
       61.2745475503,       -14.8809527569
       61.6112208885,       -14.8809527569
       61.9478942266,       -14.8809527569
       62.2845675648,       -14.8809527569
        62.621240903,       -14.8809527569
       62.9579142412,       -14.8809527569
       63.2945875794,       -14.8809527569
       63.6312609176,       -14.8809527569
       63.9679342558,       -14.8809527569
        64.304607594,       -14.8809527569
       64.6412809322,       -14.8809527569
       64.9779542703,       -14.8809527569
       65.3146276085,       -14.8809527569
       65.6513009467,       -14.8809527569
       65.9879742849,       -14.8809527569
       66.3246476231,       -14.8809527569
       66.6613209613,       -14.8809527569
       66.9979942995,       -14.8809527569
       67.3346676377,       -14.8809527569
       67.6713409758,       -14.8809527569
        68.008014314,       -14.8809527569
       68.3446876522,       -14.8809527569
       68.6813609904,       -14.8809527569
       69.0180343286,       -14.8809527569
       69.3547076668,       -14.8809527569
        69.691381005,       -14.8809527569
       70.0280543432,       -14.8809527569
       70.3647276814,       -14.8809527569
       70.7014010195,       -14.8809527569
       71.0380743577,       -14.8809527569
       71.3747476959,       -14.8809527569
       71.7114210341,       -14.8809527569
       72.0480943723,       -14.8809527569
       72.3847677105,       -14.8809527569
       72.7214410487,       -14.8809527569
       73.0581143869,       -14.8809527569
        73.394787725,       -14.8809527569
       73.7314610632,       -14.8809527569
       74.0681344014,       -14.8809527569
       74.4048077396,       -14.8809527569
       74.7414810778,       -14.8809527569
        75.078154416,       -14.8809527569
       75.4148277542,       -14.8809527569
       75.7515010924,       -14.8809527569
       76.0881744306,       -14.8809527569
       76.4248477687,       -14.8809527569
       76.7615211069,       -14.8809527569
       77.0981944451,       -14.8809527569
       77.4348677833,       -14.8809527569
       77.7715411215,       -14.8809527569
       78.1082144597,       -14.8809527569
       78.4448877979,       -14.8809527569
       78.7815611361,       -14.8809527569
       79.1182344743,       -14.8809527569
