------------------------------------------------------------
 solve vstep=0.1 nsteps=5 elect=1
------------------------------------------------------------
Position (um), Conduction Band Potential (eV)
       230.957909997,      0.0523283747332
       231.294583335,      0.0528293767372
       231.631256674,      0.0533303787412
       231.967930012,      0.0538313807452
        232.30460335,      0.0543323827492
       232.641276688,      0.0548333847532
       232.977950026,      0.0553343867572
       233.314623364,      0.0558353887613
       233.651296703,      0.0563363907653
       233.987970041,      0.0568373927693
       234.324643379,      0.0573383947733
       234.661316717,      0.0578393967773
       234.997990055,      0.0583403987813
       235.334663394,      0.0588414007853
       235.671336732,      0.0593424027893
        236.00801007,      0.0598434047933
       236.344683408,      0.0603444067973
       236.681356746,      0.0608454088013
       237.018030085,      0.0613464108053
       237.354703423,      0.0618474128093
       237.691376761,      0.0623484148134
       238.028050099,      0.0628494168174
       238.364723437,      0.0633504188214
       238.701396776,      0.0638514208254
       239.038070114,      0.0643524228294
       239.374743452,      0.0648534248334
        239.71141679,      0.0653544268374
       240.048090128,      0.0658554288414
       240.384763466,      0.0663564308454
       240.721436805,      0.0668574328494
       241.058110143,      0.0673584348534
       241.394783481,      0.0678594368574
       241.731456819,      0.0683604388615
       242.068130157,      0.0688614408655
       242.404803496,      0.0693624428695
       242.741476834,      0.0698634448735
       243.078150172,      0.0703644468775
        243.41482351,      0.0708654488815
       243.751496848,      0.0713664508855
       244.088170187,      0.0718674528895
       244.424843525,      0.0723684548935
       244.761516863,      0.0728694568975
       245.098190201,      0.0733704589015
       245.434863539,      0.0738714609055
       245.771536877,      0.0743724629095
       246.108210216,      0.0748734649136
       246.444883554,      0.0753744669176
       246.781556892,      0.0758754689216
        247.11823023,      0.0763764709256
       247.454903568,      0.0768774729296
       247.791576907,      0.0773784749336
       248.128250245,      0.0778794769376
       248.464923583,      0.0783804789416
       248.801596921,      0.0788814809456
       249.138270259,      0.0793824829496
       249.474943598,      0.0798834849536
       249.811616936,      0.0803844869576
       250.148290274,      0.0808854889617
       250.484963612,      0.0813864909657
        250.82163695,      0.0818874929697
       251.158310288,      0.0823884949737
       251.494983627,      0.0828894969777
       251.831656965,      0.0833904989817
       252.168330303,      0.0838915009857
       252.505003641,      0.0843925029897
       252.841676979,      0.0848935049937
       253.178350318,      0.0853945069977
       253.515023656,      0.0858955090017
       253.851696994,      0.0863965110057
       254.188370332,      0.0868975130097
        254.52504367,      0.0873985150138
       254.861717009,      0.0878995170178
       255.198390347,      0.0884005190218
       255.535063685,      0.0889015210258
       255.871737023,      0.0894025230298
       256.208410361,      0.0899035250338
       256.545083699,      0.0904045270378
       256.881757038,      0.0909055290418
       257.218430376,      0.0914065310458
       257.555103714,      0.0919075330498
       257.891777052,      0.0924085350538
        258.22845039,      0.0929095370578
       258.565123729,      0.0934105390619
       258.901797067,      0.0939115410659
       259.238470405,      0.0944125430699
       259.575143743,      0.0949135450739
       259.911817081,      0.0954145470779
        260.24849042,      0.0959155490819
       260.585163758,      0.0964165510859
       260.921837096,      0.0969175530899
       261.258510434,      0.0974185550939
       261.595183772,      0.0979195570979
        261.93185711,      0.0984205591019
       262.268530449,      0.0989215611059
       262.605203787,      0.0994225631099
       262.941877125,       0.099923565114
       263.278550463,       0.100424567118
       263.615223801,       0.100925569122
        263.95189714,       0.101426571126
       264.288570478,        0.10192757313
       264.625243816,       0.102428575134
       264.961917154,       0.102929577138
       265.298590492,       0.103430579142
       265.635263831,       0.103931581146
       265.971937169,        0.10443258315
       266.308610507,       0.104933585154
       266.645283845,       0.105434587158
       266.981957183,       0.105935589162
       267.318630522,       0.106436591166
        267.65530386,        0.10693759317
       267.991977198,       0.107438595174
       268.328650536,       0.107939597178
       268.665323874,       0.108440599182
       269.001997212,       0.108941601186
       269.338670551,        0.10944260319
       269.675343889,       0.109943605194
       270.012017227,       0.110444607198
       270.348690565,       0.110945609202
       270.685363903,       0.111446611206
       271.022037242,        0.11194761321
        271.35871058,       0.112448615214
       271.695383918,       0.112949617218
       272.032057256,       0.113450619222
       272.368730594,       0.113951621226
